date,matchup,game_pk,home_team,away_team,mu_total,p_home_cover_rl,p_over,rl_home_point,rl_home_no_vig,total_line,over_no_vig,home_rl_pp,over_pp,actual_winner,actual_total,actual_margin,odds_missing,result_missing
2026-05-01,ARI@CHC,824686,Chicago Cubs,Arizona Diamondbacks,9.14,,,,,,,,,HOME,11.0,1.0,True,False
2026-05-01,ATL@COL,824366,Colorado Rockies,Atlanta Braves,15.23,0.3113,0.8062,1.5,0.48100000000000004,11.0,0.478,-17.0,32.8,AWAY,14.0,-2.0,False,False
2026-05-01,BAL@NYY,823557,New York Yankees,Baltimore Orioles,7.81,0.444,0.444,-1.5,0.405,8.5,0.514,3.9,-7.0,HOME,9.0,5.0,False,False
2026-05-01,CIN@PIT,823389,Pittsburgh Pirates,Cincinnati Reds,8.79,0.4391,0.5641,-1.5,0.377,8.0,0.493,6.2,7.1,HOME,10.0,8.0,False,False
2026-05-01,CLE@OAK,825012,Athletics,Cleveland Guardians,8.97,0.4071,0.4167,-1.5,0.391,10.0,0.491,1.6,-7.4,,,,False,True
2026-05-01,CWS@SD,823309,San Diego Padres,Chicago White Sox,9.49,0.2984,0.6578,-1.5,0.46299999999999997,7.5,0.512,-16.5,14.6,AWAY,10.0,-6.0,False,False
2026-05-01,HOU@BOS,824772,Boston Red Sox,Houston Astros,10.63,0.4472,0.6304,-1.5,0.364,9.0,0.509,8.3,12.1,HOME,4.0,2.0,False,False
2026-05-01,KC@SEA,823146,Seattle Mariners,Kansas City Royals,8.04,0.5244,0.5439,-1.5,0.382,7.5,0.48100000000000004,14.2,6.3,AWAY,13.0,-1.0,False,False
2026-05-01,LAD@STL,823066,St. Louis Cardinals,Los Angeles Dodgers,11.76,0.4367,0.7472,1.5,0.542,8.5,0.526,-10.5,22.1,HOME,9.0,5.0,False,False
2026-05-01,MIL@WSH,822744,Washington Nationals,Milwaukee Brewers,10.14,0.5326,0.669,1.5,0.585,8.0,0.483,-5.2,18.6,AWAY,7.0,-5.0,False,False
2026-05-01,NYM@LAA,824041,Los Angeles Angels,New York Mets,8.25,0.6335,0.5204,1.5,0.599,8.0,0.499,3.4,2.1,AWAY,7.0,-1.0,False,False
2026-05-01,PHI@MIA,823877,Miami Marlins,Philadelphia Phillies,8.87,,,,,,,,,AWAY,11.0,-1.0,True,False
2026-05-01,SF@TB,822990,Tampa Bay Rays,San Francisco Giants,6.78,,,,,,,,,HOME,3.0,3.0,True,False
2026-05-01,TEX@DET,824287,Detroit Tigers,Texas Rangers,8.94,0.3237,0.5761,-1.5,0.374,8.0,0.501,-5.0,7.5,AWAY,9.0,-1.0,False,False
2026-05-01,TOR@MIN,823713,Minnesota Twins,Toronto Blue Jays,10.19,0.5577,0.6727,1.5,0.589,8.0,0.488,-3.1,18.5,AWAY,10.0,-4.0,False,False
2026-05-02,ARI@CHC,824685,Chicago Cubs,Arizona Diamondbacks,9.94,,,,,,,,,HOME,2.0,2.0,True,False
2026-05-02,ATL@COL,824365,Colorado Rockies,Atlanta Braves,10.18,0.6343,0.4335,1.5,0.49,11.0,0.478,14.4,-4.4,AWAY,10.0,-8.0,False,False
2026-05-02,BAL@NYY,823554,New York Yankees,Baltimore Orioles,8.24,0.448,0.4383,-1.5,0.47200000000000003,9.0,0.48200000000000004,-2.4,-4.4,HOME,13.0,5.0,False,False
2026-05-02,CIN@PIT,823388,Pittsburgh Pirates,Cincinnati Reds,7.01,0.4247,0.4601,-1.5,0.342,7.5,0.493,8.3,-3.3,HOME,24.0,10.0,False,False
2026-05-02,CLE@OAK,825014,Athletics,Cleveland Guardians,11.08,0.6645,0.6265,1.5,0.589,9.5,0.474,7.6,15.2,,,,False,True
2026-05-02,CWS@SD,823308,San Diego Padres,Chicago White Sox,8.48,0.3843,0.539,-1.5,0.436,8.0,0.512,-5.2,2.7,AWAY,4.0,-4.0,False,False
2026-05-02,HOU@BOS,824771,Boston Red Sox,Houston Astros,9.33,,,,,,,,,AWAY,9.0,-3.0,True,False
2026-05-02,KC@SEA,823144,Seattle Mariners,Kansas City Royals,7.03,0.3347,0.4215,-1.5,0.35700000000000004,8.0,0.483,-2.2,-6.2,AWAY,5.0,-1.0,False,False
2026-05-02,LAD@STL,823067,St. Louis Cardinals,Los Angeles Dodgers,12.22,0.7702,0.7446,1.5,0.55,9.0,0.522,22.0,22.3,HOME,5.0,1.0,False,False
2026-05-02,MIL@WSH,822746,Washington Nationals,Milwaukee Brewers,10.09,0.4878,0.6273,1.5,0.5710000000000001,8.5,0.48100000000000004,-8.3,14.6,AWAY,5.0,-3.0,False,False
2026-05-02,NYM@LAA,824042,Los Angeles Angels,New York Mets,6.42,0.5889,0.2991,1.5,0.578,9.0,0.491,1.1,-19.2,HOME,7.0,1.0,False,False
2026-05-02,PHI@MIA,823876,Miami Marlins,Philadelphia Phillies,7.55,0.6623,0.4634,1.5,0.564,8.0,0.507,9.8,-4.4,HOME,4.0,4.0,False,False
2026-05-02,SF@TB,822988,Tampa Bay Rays,San Francisco Giants,7.06,0.2907,0.4239,-1.5,0.34600000000000003,8.0,0.519,-5.5,-9.5,HOME,6.0,4.0,False,False
2026-05-02,TEX@DET,824284,Detroit Tigers,Texas Rangers,6.96,0.4207,0.3766,-1.5,0.37200000000000005,8.5,0.484,4.9,-10.7,HOME,6.0,4.0,False,False
2026-05-02,TOR@MIN,823715,Minnesota Twins,Toronto Blue Jays,7.67,0.4976,0.4731,1.5,0.617,8.0,0.516,-11.9,-4.3,AWAY,15.0,-7.0,False,False
2026-05-03,ARI@CHC,824687,Chicago Cubs,Arizona Diamondbacks,10.99,0.7948,0.4183,-1.5,0.433,12.0,0.484,36.2,-6.6,HOME,12.0,4.0,False,False
2026-05-03,ATL@COL,824364,Colorado Rockies,Atlanta Braves,12.25,0.4375,0.6771,1.5,0.542,10.0,0.489,-10.5,18.8,AWAY,17.0,-5.0,False,False
2026-05-03,BAL@NYY,823555,New York Yankees,Baltimore Orioles,8.18,0.5212,0.4739,-1.5,0.456,8.5,0.496,6.5,-2.2,HOME,14.0,8.0,False,False
2026-05-03,CIN@PIT,823387,Pittsburgh Pirates,Cincinnati Reds,9.03,0.4796,0.6227,-1.5,0.33899999999999997,7.5,0.496,14.1,12.7,HOME,1.0,1.0,False,False
2026-05-03,CLE@OAK,825013,Athletics,Cleveland Guardians,8.07,0.5382,0.3851,1.5,0.57,9.5,0.475,-3.2,-9.0,HOME,8.0,6.0,False,False
2026-05-03,CWS@SD,823307,San Diego Padres,Chicago White Sox,9.82,0.5065,0.645,-1.5,0.424,8.0,0.517,8.2,12.8,HOME,7.0,1.0,False,False
2026-05-03,HOU@BOS,824769,Boston Red Sox,Houston Astros,8.89,0.4666,0.5317,-1.5,0.43799999999999994,8.5,0.522,2.9,1.0,AWAY,4.0,-2.0,False,False
2026-05-03,KC@SEA,823145,Seattle Mariners,Kansas City Royals,7.39,0.382,0.4504,-1.5,0.342,8.0,0.494,4.0,-4.4,AWAY,5.0,-3.0,False,False
